symbol,company,market_key,market_label,market_short,sector,currency,exchange,price_local,previous_close,day_high,day_low,volume,regular_market_time,market_state
005930.KS,"Samsung Electronics Co., Ltd.",asia,Asia-Pacifico,Asia,Eletronicos e chips,KRW,KSE,179700.0,180100.0,181700.0,172000.0,31221326,1774593024,
6758.T,Sony Group Corporation,asia,Asia-Pacifico,Asia,Tecnologia e entretenimento,JPY,Tokyo,3209.0,3218.0,3252.0,3180.0,24050400,1774593000,
7203.T,Toyota Motor Corporation,asia,Asia-Pacifico,Asia,Automotivo,JPY,Tokyo,3408.0,3388.0,3434.0,3346.0,28198100,1774593000,
9988.HK,Alibaba Group Holding Limited,asia,Asia-Pacifico,Asia,E-commerce e cloud,HKD,HKSE,122.6,123.0,124.1,121.4,53462572,1774598899,
ASML.AS,ASML Holding N.V.,europe,Europa,Europa,Equipamentos para chips,EUR,Amsterdam,1146.4,1165.8,1163.0,1129.8,641843,1774629396,
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",europe,Europa,Europa,Luxo,EUR,Paris,455.75,458.3,459.7,453.35,507326,1774629320,
SAP.DE,SAP SE,europe,Europa,Europa,Software empresarial,EUR,XETRA,142.56,144.64,147.32,142.1,3567464,1774629582,
ITUB4.SA,Itaú Unibanco Holding S.A.,latam,America Latina,LatAm,Bancos,BRL,São Paulo,41.45,41.94,41.81,41.18,27769100,1774642072,
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,latam,America Latina,LatAm,Petroleo e gas,BRL,São Paulo,49.41,48.02,49.44,48.13,54057300,1774642075,
VALE3.SA,Vale S.A.,latam,America Latina,LatAm,Mineracao,BRL,São Paulo,79.0,78.91,79.92,78.17,11093600,1774642054,
AAPL,Apple Inc.,us,Estados Unidos,EUA,Tecnologia,USD,NasdaqGS,248.8,252.89,255.493,248.07,46525772,1774641602,
AMZN,"Amazon.com, Inc.",us,Estados Unidos,EUA,Consumo e cloud,USD,NasdaqGS,199.34,207.68,206.42,199.14,55772474,1774641602,
MSFT,Microsoft Corporation,us,Estados Unidos,EUA,Software e nuvem,USD,NasdaqGS,356.77,365.97,362.425,356.51,37661564,1774641603,
NVDA,NVIDIA Corporation,us,Estados Unidos,EUA,Semicondutores,USD,NasdaqGS,167.52,171.24,170.97,167.01,194056113,1774641600,
